symbol,class,session,default_timeframes,buyer_note
EURUSD,Forex,London/New York,H1|H4,Major liquido para primeras pruebas.
GBPUSD,Forex,London/New York,H1|H4,Mayor volatilidad que EURUSD.
USDJPY,Forex,Asia/New York,H1|H4,Sensible a sesiones Asia y tipos.
USDCHF,Forex,London/New York,H1|H4,Defensivo; revisar correlacion con EURUSD.
USDCAD,Forex,New York,H1|H4,Exposicion a USD y energia.
AUDUSD,Forex,Asia/New York,H1|H4,Commodity FX; revisar spread.
NZDUSD,Forex,Asia/New York,H1|H4,Commodity FX; usar robustez extra.
EURGBP,Forex,London,H1|H4,Cruce europeo estable.
EURJPY,Forex,Asia/London,H1|H4,Cruce volatil; buen candidato para filtros.
EURCHF,Forex,London,H1|H4,Movimiento contenido; evitar sobreoptimizar.
EURCAD,Forex,London/New York,H1|H4,Cruce con volatilidad media.
EURAUD,Forex,London/Asia,H1|H4,Cruce amplio; revisar DD.
EURNZD,Forex,London/Asia,H1|H4,Cruce amplio; revisar stagnation.
GBPJPY,Forex,Asia/London,H1|H4,Volatil; usar control de DD.
GBPCHF,Forex,London,H1|H4,Revisar coste operativo.
GBPCAD,Forex,London/New York,H1|H4,Cruce volatil.
GBPAUD,Forex,London/Asia,H1|H4,Revisar correlacion con GBPJPY.
GBPNZD,Forex,London/Asia,H1|H4,Volatilidad alta.
AUDJPY,Forex,Asia,H1|H4,Interesante para momentum.
AUDNZD,Forex,Asia,H1|H4,Movimiento mas lento.
AUDCAD,Forex,Asia/New York,H1|H4,Commodity FX.
AUDCHF,Forex,Asia/London,H1|H4,Revisar spreads.
NZDJPY,Forex,Asia,H1|H4,Cruce volatil.
NZDCAD,Forex,Asia/New York,H1|H4,Commodity FX.
NZDCHF,Forex,Asia/London,H1|H4,Menor liquidez relativa.
CADJPY,Forex,Asia/New York,H1|H4,Exposicion a JPY y energia.
CADCHF,Forex,London/New York,H1|H4,Revisar liquidez.
CHFJPY,Forex,Asia/London,H1|H4,Cruce defensivo.
USTEC,Index,New York,H1|H4,Indice tecnologico; usar sufijo broker si aplica.
US500,Index,New York,H1|H4,Indice amplio; revisar horario.
US30,Index,New York,H1|H4,Indice volatil.
GER40,Index,Europe,H1|H4,Indice europeo; revisar nombre broker.
XAUUSD,Metal,London/New York,H1|H4,Oro; controlar DD y spread.
